timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1687315740000,2023-06-21T02:49:00Z,451-1-1-01,,device_not_worn_correctly
1687315800000,2023-06-21T02:50:00Z,451-1-1-01,,device_not_worn_correctly
1687315860000,2023-06-21T02:51:00Z,451-1-1-01,,device_not_worn_correctly
1687315920000,2023-06-21T02:52:00Z,451-1-1-01,,device_not_worn_correctly
1687315980000,2023-06-21T02:53:00Z,451-1-1-01,,device_not_worn_correctly
1687316040000,2023-06-21T02:54:00Z,451-1-1-01,,device_not_worn_correctly
1687316100000,2023-06-21T02:55:00Z,451-1-1-01,,device_not_worn_correctly
1687316160000,2023-06-21T02:56:00Z,451-1-1-01,,device_not_worn_correctly
1687316220000,2023-06-21T02:57:00Z,451-1-1-01,,device_not_worn_correctly
1687316280000,2023-06-21T02:58:00Z,451-1-1-01,,device_not_worn_correctly
1687316340000,2023-06-21T02:59:00Z,451-1-1-01,,device_not_worn_correctly
1687316400000,2023-06-21T03:00:00Z,451-1-1-01,,device_not_worn_correctly
1687316460000,2023-06-21T03:01:00Z,451-1-1-01,,device_not_worn_correctly
1687316520000,2023-06-21T03:02:00Z,451-1-1-01,,device_not_worn_correctly
1687316580000,2023-06-21T03:03:00Z,451-1-1-01,,device_not_worn_correctly
1687316640000,2023-06-21T03:04:00Z,451-1-1-01,,device_not_worn_correctly
1687316700000,2023-06-21T03:05:00Z,451-1-1-01,,device_not_worn_correctly
1687316760000,2023-06-21T03:06:00Z,451-1-1-01,,device_not_worn_correctly
1687316820000,2023-06-21T03:07:00Z,451-1-1-01,,device_not_worn_correctly
1687316880000,2023-06-21T03:08:00Z,451-1-1-01,,device_not_worn_correctly
1687316940000,2023-06-21T03:09:00Z,451-1-1-01,,device_not_worn_correctly
1687317000000,2023-06-21T03:10:00Z,451-1-1-01,,device_not_worn_correctly
1687317060000,2023-06-21T03:11:00Z,451-1-1-01,,device_not_worn_correctly
1687317120000,2023-06-21T03:12:00Z,451-1-1-01,,device_not_worn_correctly
1687317180000,2023-06-21T03:13:00Z,451-1-1-01,,device_not_worn_correctly
1687317240000,2023-06-21T03:14:00Z,451-1-1-01,,device_not_worn_correctly
1687317300000,2023-06-21T03:15:00Z,451-1-1-01,,device_not_worn_correctly
1687317360000,2023-06-21T03:16:00Z,451-1-1-01,,device_not_worn_correctly
1687317420000,2023-06-21T03:17:00Z,451-1-1-01,,device_not_worn_correctly
1687317480000,2023-06-21T03:18:00Z,451-1-1-01,,device_not_worn_correctly
1687317540000,2023-06-21T03:19:00Z,451-1-1-01,,device_not_worn_correctly
1687317600000,2023-06-21T03:20:00Z,451-1-1-01,,device_not_worn_correctly
1687317660000,2023-06-21T03:21:00Z,451-1-1-01,,device_not_worn_correctly
1687317720000,2023-06-21T03:22:00Z,451-1-1-01,,device_not_worn_correctly
1687317780000,2023-06-21T03:23:00Z,451-1-1-01,,device_not_worn_correctly
1687317840000,2023-06-21T03:24:00Z,451-1-1-01,,device_not_worn_correctly
1687317900000,2023-06-21T03:25:00Z,451-1-1-01,,device_not_worn_correctly
1687317960000,2023-06-21T03:26:00Z,451-1-1-01,,device_not_worn_correctly
1687318020000,2023-06-21T03:27:00Z,451-1-1-01,,device_not_worn_correctly
1687318080000,2023-06-21T03:28:00Z,451-1-1-01,,device_not_worn_correctly
1687318140000,2023-06-21T03:29:00Z,451-1-1-01,,device_not_worn_correctly
1687318200000,2023-06-21T03:30:00Z,451-1-1-01,,device_not_worn_correctly
1687318260000,2023-06-21T03:31:00Z,451-1-1-01,,device_not_worn_correctly
1687318320000,2023-06-21T03:32:00Z,451-1-1-01,,device_not_worn_correctly
1687318380000,2023-06-21T03:33:00Z,451-1-1-01,,device_not_worn_correctly
1687318440000,2023-06-21T03:34:00Z,451-1-1-01,,device_not_worn_correctly
1687318500000,2023-06-21T03:35:00Z,451-1-1-01,,device_not_worn_correctly
1687318560000,2023-06-21T03:36:00Z,451-1-1-01,,device_not_worn_correctly
1687318620000,2023-06-21T03:37:00Z,451-1-1-01,,device_not_worn_correctly
1687318680000,2023-06-21T03:38:00Z,451-1-1-01,,device_not_worn_correctly
1687318740000,2023-06-21T03:39:00Z,451-1-1-01,,device_not_worn_correctly
1687318800000,2023-06-21T03:40:00Z,451-1-1-01,,device_not_worn_correctly
1687318860000,2023-06-21T03:41:00Z,451-1-1-01,,device_not_worn_correctly
1687318920000,2023-06-21T03:42:00Z,451-1-1-01,,device_not_worn_correctly
1687318980000,2023-06-21T03:43:00Z,451-1-1-01,,device_not_worn_correctly
1687319040000,2023-06-21T03:44:00Z,451-1-1-01,,device_not_worn_correctly
1687319100000,2023-06-21T03:45:00Z,451-1-1-01,,device_not_worn_correctly
1687319160000,2023-06-21T03:46:00Z,451-1-1-01,,device_not_worn_correctly
1687319220000,2023-06-21T03:47:00Z,451-1-1-01,,device_not_worn_correctly
1687319280000,2023-06-21T03:48:00Z,451-1-1-01,,device_not_worn_correctly
1687319340000,2023-06-21T03:49:00Z,451-1-1-01,,device_not_worn_correctly
1687319400000,2023-06-21T03:50:00Z,451-1-1-01,,device_not_worn_correctly
1687319460000,2023-06-21T03:51:00Z,451-1-1-01,,device_not_worn_correctly
1687319520000,2023-06-21T03:52:00Z,451-1-1-01,,device_not_worn_correctly
1687319580000,2023-06-21T03:53:00Z,451-1-1-01,,device_not_worn_correctly
1687319640000,2023-06-21T03:54:00Z,451-1-1-01,,device_not_worn_correctly
1687319700000,2023-06-21T03:55:00Z,451-1-1-01,,device_not_worn_correctly
1687319760000,2023-06-21T03:56:00Z,451-1-1-01,,device_not_worn_correctly
1687319820000,2023-06-21T03:57:00Z,451-1-1-01,,device_not_worn_correctly
1687319880000,2023-06-21T03:58:00Z,451-1-1-01,,device_not_worn_correctly
1687319940000,2023-06-21T03:59:00Z,451-1-1-01,,device_not_worn_correctly
1687320000000,2023-06-21T04:00:00Z,451-1-1-01,,device_not_worn_correctly
1687320060000,2023-06-21T04:01:00Z,451-1-1-01,,device_not_worn_correctly
1687320120000,2023-06-21T04:02:00Z,451-1-1-01,,device_not_worn_correctly
1687320180000,2023-06-21T04:03:00Z,451-1-1-01,,device_not_worn_correctly
1687320240000,2023-06-21T04:04:00Z,451-1-1-01,,device_not_worn_correctly
1687320300000,2023-06-21T04:05:00Z,451-1-1-01,,device_not_worn_correctly
1687320360000,2023-06-21T04:06:00Z,451-1-1-01,,device_not_worn_correctly
1687320420000,2023-06-21T04:07:00Z,451-1-1-01,,device_not_worn_correctly
1687320480000,2023-06-21T04:08:00Z,451-1-1-01,,device_not_worn_correctly
1687320540000,2023-06-21T04:09:00Z,451-1-1-01,,device_not_worn_correctly
1687320600000,2023-06-21T04:10:00Z,451-1-1-01,,device_not_worn_correctly
1687320660000,2023-06-21T04:11:00Z,451-1-1-01,,device_not_worn_correctly
1687320720000,2023-06-21T04:12:00Z,451-1-1-01,,device_not_worn_correctly
1687320780000,2023-06-21T04:13:00Z,451-1-1-01,,device_not_worn_correctly
1687320840000,2023-06-21T04:14:00Z,451-1-1-01,,device_not_worn_correctly
1687320900000,2023-06-21T04:15:00Z,451-1-1-01,,device_not_worn_correctly
1687320960000,2023-06-21T04:16:00Z,451-1-1-01,,device_not_worn_correctly
1687321020000,2023-06-21T04:17:00Z,451-1-1-01,,device_not_worn_correctly
1687321080000,2023-06-21T04:18:00Z,451-1-1-01,,device_not_worn_correctly
1687321140000,2023-06-21T04:19:00Z,451-1-1-01,,device_not_worn_correctly
1687321200000,2023-06-21T04:20:00Z,451-1-1-01,,device_not_worn_correctly
1687321260000,2023-06-21T04:21:00Z,451-1-1-01,,device_not_worn_correctly
1687321320000,2023-06-21T04:22:00Z,451-1-1-01,,device_not_worn_correctly
1687321380000,2023-06-21T04:23:00Z,451-1-1-01,,device_not_worn_correctly
1687321440000,2023-06-21T04:24:00Z,451-1-1-01,,device_not_worn_correctly
1687321500000,2023-06-21T04:25:00Z,451-1-1-01,,device_not_worn_correctly
1687321560000,2023-06-21T04:26:00Z,451-1-1-01,,device_not_worn_correctly
1687321620000,2023-06-21T04:27:00Z,451-1-1-01,,device_not_worn_correctly
1687321680000,2023-06-21T04:28:00Z,451-1-1-01,,device_not_worn_correctly
1687321740000,2023-06-21T04:29:00Z,451-1-1-01,,device_not_worn_correctly
1687321800000,2023-06-21T04:30:00Z,451-1-1-01,,device_not_worn_correctly
1687321860000,2023-06-21T04:31:00Z,451-1-1-01,,device_not_worn_correctly
1687321920000,2023-06-21T04:32:00Z,451-1-1-01,,device_not_worn_correctly
1687321980000,2023-06-21T04:33:00Z,451-1-1-01,,device_not_worn_correctly
1687322040000,2023-06-21T04:34:00Z,451-1-1-01,,device_not_worn_correctly
1687322100000,2023-06-21T04:35:00Z,451-1-1-01,,device_not_worn_correctly
1687322160000,2023-06-21T04:36:00Z,451-1-1-01,,device_not_worn_correctly
1687322220000,2023-06-21T04:37:00Z,451-1-1-01,,device_not_worn_correctly
1687322280000,2023-06-21T04:38:00Z,451-1-1-01,,device_not_worn_correctly
1687322340000,2023-06-21T04:39:00Z,451-1-1-01,,device_not_worn_correctly
1687322400000,2023-06-21T04:40:00Z,451-1-1-01,,device_not_worn_correctly
1687322460000,2023-06-21T04:41:00Z,451-1-1-01,,device_not_worn_correctly
1687322520000,2023-06-21T04:42:00Z,451-1-1-01,,device_not_worn_correctly
1687322580000,2023-06-21T04:43:00Z,451-1-1-01,,device_not_worn_correctly
1687322640000,2023-06-21T04:44:00Z,451-1-1-01,,device_not_worn_correctly
1687322700000,2023-06-21T04:45:00Z,451-1-1-01,,device_not_worn_correctly
1687322760000,2023-06-21T04:46:00Z,451-1-1-01,,device_not_worn_correctly
1687322820000,2023-06-21T04:47:00Z,451-1-1-01,,device_not_worn_correctly
1687322880000,2023-06-21T04:48:00Z,451-1-1-01,,device_not_worn_correctly
1687322940000,2023-06-21T04:49:00Z,451-1-1-01,,device_not_worn_correctly
1687323000000,2023-06-21T04:50:00Z,451-1-1-01,,device_not_worn_correctly
1687323060000,2023-06-21T04:51:00Z,451-1-1-01,,device_not_worn_correctly
1687323120000,2023-06-21T04:52:00Z,451-1-1-01,,device_not_worn_correctly
1687323180000,2023-06-21T04:53:00Z,451-1-1-01,,device_not_worn_correctly
1687323240000,2023-06-21T04:54:00Z,451-1-1-01,,device_not_worn_correctly
1687323300000,2023-06-21T04:55:00Z,451-1-1-01,,device_not_worn_correctly
1687323360000,2023-06-21T04:56:00Z,451-1-1-01,,device_not_worn_correctly
1687323420000,2023-06-21T04:57:00Z,451-1-1-01,,device_not_worn_correctly
1687323480000,2023-06-21T04:58:00Z,451-1-1-01,,device_not_worn_correctly
1687323540000,2023-06-21T04:59:00Z,451-1-1-01,,device_not_worn_correctly
1687323600000,2023-06-21T05:00:00Z,451-1-1-01,,device_not_worn_correctly
1687323660000,2023-06-21T05:01:00Z,451-1-1-01,,device_not_worn_correctly
1687323720000,2023-06-21T05:02:00Z,451-1-1-01,,device_not_worn_correctly
1687323780000,2023-06-21T05:03:00Z,451-1-1-01,,device_not_worn_correctly
1687323840000,2023-06-21T05:04:00Z,451-1-1-01,,device_not_worn_correctly
1687323900000,2023-06-21T05:05:00Z,451-1-1-01,,device_not_worn_correctly
1687323960000,2023-06-21T05:06:00Z,451-1-1-01,,device_not_worn_correctly
1687324020000,2023-06-21T05:07:00Z,451-1-1-01,,device_not_worn_correctly
1687324080000,2023-06-21T05:08:00Z,451-1-1-01,,device_not_worn_correctly
1687324140000,2023-06-21T05:09:00Z,451-1-1-01,,device_not_worn_correctly
1687324200000,2023-06-21T05:10:00Z,451-1-1-01,,device_not_worn_correctly
1687324260000,2023-06-21T05:11:00Z,451-1-1-01,,device_not_worn_correctly
1687324320000,2023-06-21T05:12:00Z,451-1-1-01,,device_not_worn_correctly
1687324380000,2023-06-21T05:13:00Z,451-1-1-01,,device_not_worn_correctly
1687324440000,2023-06-21T05:14:00Z,451-1-1-01,,device_not_worn_correctly
1687324500000,2023-06-21T05:15:00Z,451-1-1-01,,device_not_worn_correctly
1687324560000,2023-06-21T05:16:00Z,451-1-1-01,,device_not_worn_correctly
1687324620000,2023-06-21T05:17:00Z,451-1-1-01,,device_not_worn_correctly
1687324680000,2023-06-21T05:18:00Z,451-1-1-01,,device_not_worn_correctly
1687324740000,2023-06-21T05:19:00Z,451-1-1-01,,device_not_worn_correctly
1687324800000,2023-06-21T05:20:00Z,451-1-1-01,,device_not_worn_correctly
1687324860000,2023-06-21T05:21:00Z,451-1-1-01,,device_not_worn_correctly
1687324920000,2023-06-21T05:22:00Z,451-1-1-01,,device_not_worn_correctly
1687324980000,2023-06-21T05:23:00Z,451-1-1-01,,device_not_worn_correctly
1687325040000,2023-06-21T05:24:00Z,451-1-1-01,,device_not_worn_correctly
1687325100000,2023-06-21T05:25:00Z,451-1-1-01,,device_not_worn_correctly
1687325160000,2023-06-21T05:26:00Z,451-1-1-01,,device_not_worn_correctly
1687325220000,2023-06-21T05:27:00Z,451-1-1-01,,device_not_worn_correctly
1687325280000,2023-06-21T05:28:00Z,451-1-1-01,,device_not_worn_correctly
1687325340000,2023-06-21T05:29:00Z,451-1-1-01,,device_not_worn_correctly
1687325400000,2023-06-21T05:30:00Z,451-1-1-01,,device_not_worn_correctly
1687325460000,2023-06-21T05:31:00Z,451-1-1-01,,device_not_worn_correctly
1687325520000,2023-06-21T05:32:00Z,451-1-1-01,,device_not_worn_correctly
1687325580000,2023-06-21T05:33:00Z,451-1-1-01,,device_not_worn_correctly
1687325640000,2023-06-21T05:34:00Z,451-1-1-01,,device_not_worn_correctly
1687325700000,2023-06-21T05:35:00Z,451-1-1-01,,device_not_worn_correctly
1687325760000,2023-06-21T05:36:00Z,451-1-1-01,,device_not_worn_correctly
1687325820000,2023-06-21T05:37:00Z,451-1-1-01,,device_not_worn_correctly
